dataset,mask,comparison,FID
coco_val2017,ex64,base,81.99374546532562
coco_val2017,ex64,repaint,87.76922706298853
coco_val2017,ex64,rpip,81.52313851020136
coco_val2017,genhalf,base,54.018204288679215
coco_val2017,genhalf,repaint,65.31123737281666
coco_val2017,genhalf,rpip,52.59292501908038
coco_val2017,sr64,base,146.69250974326224
coco_val2017,sr64,repaint,158.0123164288454
coco_val2017,sr64,rpip,153.47162407242223
coco_val2017,thick,base,8.620483744500007
coco_val2017,thick,repaint,15.636828304891992
coco_val2017,thick,rpip,9.515729038915538
coco_val2017,thin,base,61.86146165029487
coco_val2017,thin,repaint,107.82549043516366
coco_val2017,thin,rpip,59.76446021923539
coco_val2017,vs64,base,75.97476509250708
coco_val2017,vs64,repaint,118.25600494584074
coco_val2017,vs64,rpip,89.93936977489057
imagenet_val,ex64,base,76.03098923985038
imagenet_val,ex64,repaint,80.31271610285398
imagenet_val,ex64,rpip,76.50100344963568
imagenet_val,genhalf,base,49.640388243772804
imagenet_val,genhalf,repaint,63.365544960253715
imagenet_val,genhalf,rpip,50.00625693047027
imagenet_val,sr64,base,167.8515051008602
imagenet_val,sr64,repaint,165.19599232274675
imagenet_val,sr64,rpip,163.59053446796938
imagenet_val,thick,base,6.150705451155773
imagenet_val,thick,repaint,9.439924926544961
imagenet_val,thick,rpip,6.5218717741552155
imagenet_val,thin,base,51.9853990488383
imagenet_val,thin,repaint,102.54133099679149
imagenet_val,thin,rpip,48.84541899629045
imagenet_val,vs64,base,73.39488325139268
imagenet_val,vs64,repaint,108.79945354656815
imagenet_val,vs64,rpip,86.4311315658021
places_365_train,ex64,base,73.94902469110548
places_365_train,ex64,repaint,75.0137811316647
places_365_train,ex64,rpip,75.89281466418674
places_365_train,genhalf,base,46.453785706681856
places_365_train,genhalf,repaint,58.797603037822455
places_365_train,genhalf,rpip,47.70017035567258
places_365_train,sr64,base,163.3943225868942
places_365_train,sr64,repaint,151.15765360357784
places_365_train,sr64,rpip,168.11005670679174
places_365_train,thick,base,9.535836663390342
places_365_train,thick,repaint,14.700265324530676
places_365_train,thick,rpip,9.16751344752987
places_365_train,thin,base,57.99615959578716
places_365_train,thin,repaint,96.2228161219951
places_365_train,thin,rpip,57.807524644008936
places_365_train,vs64,base,79.64968508025652
places_365_train,vs64,repaint,117.56440319387445
places_365_train,vs64,rpip,89.14192024083934
places_365_val,ex64,base,73.11727709146703
places_365_val,ex64,repaint,75.415201078731
places_365_val,ex64,rpip,74.22291917920614
places_365_val,genhalf,base,45.826773879994505
places_365_val,genhalf,repaint,56.856288663239866
places_365_val,genhalf,rpip,47.11465347069134
places_365_val,sr64,base,163.36880975699614
places_365_val,sr64,repaint,154.26213229389705
places_365_val,sr64,rpip,163.69098278648278
places_365_val,thick,base,9.75930111490726
places_365_val,thick,repaint,15.46214133681724
places_365_val,thick,rpip,9.891977121639798
places_365_val,thin,base,55.76536593692276
places_365_val,thin,repaint,96.18528872263539
places_365_val,thin,rpip,54.26575906636924
places_365_val,vs64,base,81.51412611958142
places_365_val,vs64,repaint,109.11664250602234
places_365_val,vs64,rpip,88.58874918595734
